order_id,customer_id,order_date,status
105,6,2026-01-01,returned
106,167,2025-11-12,delivered
107,121,2025-12-10,delivered
108,178,2026-06-06,delivered
109,30,2026-04-26,returned
110,133,2025-12-18,delivered
111,74,2025-08-30,delivered
112,142,2026-03-21,delivered
113,184,2025-10-04,delivered
114,99,2025-12-20,delivered
115,130,2025-12-16,delivered
116,77,2025-11-20,shipped
117,97,2025-11-02,delivered
118,199,2026-02-28,delivered
119,167,2025-08-27,returned
120,135,2026-06-18,cancelled
121,105,2026-07-06,cancelled
122,160,2026-06-06,delivered
123,137,2026-04-03,delivered
124,159,2026-05-11,delivered
125,181,2025-10-16,cancelled
126,92,2025-09-17,delivered
127,175,2026-03-12,shipped
128,159,2025-12-10,delivered
129,171,2026-06-21,delivered
130,77,2026-03-01,delivered
131,61,2026-05-27,delivered
132,102,2026-03-16,delivered
133,128,2025-09-02,shipped
134,49,2026-02-08,delivered
135,11,2025-09-17,delivered
136,192,2025-12-15,delivered
137,129,2026-05-26,cancelled
138,87,2025-11-21,shipped
139,143,2026-06-06,delivered
140,173,2025-12-16,delivered
141,144,2026-05-05,delivered
142,180,2026-03-24,delivered
143,138,2025-09-06,delivered
144,187,2025-12-29,delivered
145,95,2026-02-22,delivered
146,16,2026-03-10,delivered
147,55,2025-08-26,delivered
148,63,2025-11-17,returned
149,151,2025-08-10,delivered
150,1,2025-09-22,delivered
151,29,2026-06-10,delivered
152,92,2026-04-28,shipped
153,68,2026-03-09,delivered
154,152,2025-10-17,delivered
155,134,2025-09-01,delivered
156,103,2025-07-24,delivered
157,114,2025-11-09,delivered
158,38,2026-05-30,delivered
159,98,2025-12-22,returned
160,30,2026-03-29,cancelled
161,87,2026-03-26,shipped
162,96,2026-03-23,returned
163,143,2026-04-03,delivered
164,185,2025-09-23,delivered
165,55,2026-05-30,delivered
166,58,2026-01-26,shipped
167,178,2025-09-22,delivered
168,90,2025-11-09,delivered
169,37,2026-04-21,shipped
170,136,2026-02-06,delivered
171,153,2025-09-02,delivered
172,194,2026-04-14,delivered
173,170,2026-02-11,delivered
174,29,2025-11-28,delivered
175,2,2026-06-02,delivered
176,84,2026-07-07,delivered
177,129,2026-07-13,delivered
178,118,2026-05-16,cancelled
179,75,2025-09-28,delivered
180,159,2025-11-19,delivered
181,103,2025-08-20,delivered
182,163,2025-08-02,delivered
183,166,2026-05-31,shipped
184,45,2026-06-18,delivered
185,127,2026-05-12,delivered
186,39,2025-12-27,delivered
187,19,2026-02-08,delivered
188,153,2026-01-10,delivered
189,83,2025-07-19,delivered
190,183,2025-07-26,delivered
191,113,2026-01-28,delivered
192,199,2026-01-25,delivered
193,86,2026-01-08,delivered
194,99,2025-10-19,delivered
195,37,2025-08-19,cancelled
196,182,2026-04-26,cancelled
197,180,2026-03-11,shipped
198,109,2026-07-05,delivered
199,47,2026-06-28,returned
200,20,2025-09-24,delivered
201,190,2025-09-12,cancelled
202,197,2025-07-23,delivered
203,12,2026-04-18,delivered
204,115,2026-06-14,delivered
205,174,2025-07-20,cancelled
206,52,2025-12-03,shipped
207,96,2026-01-01,delivered
208,32,2025-10-16,delivered
209,112,2025-08-12,delivered
210,14,2025-11-05,delivered
211,82,2026-02-27,cancelled
212,36,2026-05-12,shipped
213,141,2026-06-17,cancelled
214,108,2025-11-23,delivered
215,148,2026-04-04,delivered
216,91,2025-08-16,delivered
217,130,2025-10-20,shipped
218,12,2026-06-10,delivered
219,62,2026-06-19,shipped
220,189,2026-04-03,shipped
221,165,2025-11-04,delivered
222,10,2026-06-15,delivered
223,81,2026-04-14,cancelled
224,200,2025-12-31,delivered
225,113,2026-01-21,cancelled
226,22,2025-12-09,shipped
227,47,2025-07-27,delivered
228,115,2026-03-05,delivered
229,158,2025-11-26,returned
230,94,2025-07-26,delivered
231,113,2025-12-19,delivered
232,94,2026-02-23,delivered
233,174,2026-03-17,delivered
234,136,2025-11-19,delivered
235,48,2026-07-02,delivered
236,157,2026-02-01,delivered
237,23,2026-03-29,shipped
238,75,2025-10-06,cancelled
239,93,2026-04-01,delivered
240,61,2025-11-15,shipped
241,147,2026-01-23,delivered
242,102,2026-04-15,returned
243,19,2025-10-29,delivered
244,197,2026-04-18,returned
245,83,2026-06-26,cancelled
246,65,2025-08-11,delivered
247,129,2025-10-18,delivered
248,155,2025-07-26,delivered
249,12,2026-06-14,cancelled
250,164,2025-11-23,delivered
251,77,2025-12-22,delivered
252,107,2026-03-09,delivered
253,184,2025-11-01,delivered
254,28,2025-11-14,delivered
255,99,2026-07-15,cancelled
256,128,2025-10-08,returned
257,56,2026-03-19,delivered
258,127,2026-05-07,delivered
259,94,2026-05-19,shipped
260,93,2026-07-05,delivered
261,116,2025-11-17,shipped
262,96,2025-07-27,shipped
263,131,2026-02-03,delivered
264,36,2025-07-21,shipped
265,82,2025-08-24,delivered
266,182,2025-10-22,delivered
267,186,2026-02-05,cancelled
268,68,2026-06-05,returned
269,44,2026-05-13,delivered
270,5,2026-02-27,delivered
271,189,2026-07-08,shipped
272,170,2026-06-20,delivered
273,198,2026-01-26,cancelled
274,77,2026-01-25,delivered
275,126,2026-01-07,delivered
276,174,2025-08-04,delivered
277,89,2025-08-27,cancelled
278,144,2025-08-06,delivered
279,62,2026-01-22,delivered
280,106,2025-12-31,delivered
281,168,2025-08-04,cancelled
282,16,2025-08-01,cancelled
283,60,2026-02-18,delivered
284,46,2025-12-12,cancelled
285,48,2025-11-05,cancelled
286,86,2026-05-11,delivered
287,188,2025-11-16,delivered
288,146,2025-09-22,delivered
289,110,2025-11-15,delivered
290,25,2025-11-12,delivered
291,67,2026-06-28,delivered
292,67,2026-06-14,delivered
293,79,2025-07-24,delivered
294,57,2025-08-07,delivered
295,156,2025-11-25,delivered
296,135,2025-09-27,delivered
297,52,2025-10-30,delivered
298,30,2026-05-23,delivered
299,117,2025-11-27,delivered
300,56,2025-11-04,delivered
301,180,2025-12-04,delivered
302,9,2026-07-06,delivered
303,166,2025-07-19,returned
304,35,2025-09-12,delivered
305,187,2026-01-12,returned
306,77,2026-06-08,delivered
307,49,2026-03-03,cancelled
308,108,2025-10-10,delivered
309,18,2026-02-14,delivered
310,173,2026-02-08,shipped
311,12,2025-12-28,delivered
312,129,2026-07-01,returned
313,154,2025-08-21,shipped
314,106,2025-11-25,delivered
315,189,2026-05-30,cancelled
316,82,2026-05-02,delivered
317,77,2025-11-29,cancelled
318,107,2025-07-23,delivered
319,85,2025-09-02,delivered
320,173,2026-03-25,delivered
321,195,2026-04-13,delivered
322,4,2026-03-29,delivered
323,63,2026-01-16,delivered
324,199,2026-01-20,delivered
325,120,2026-03-19,delivered
326,57,2026-02-03,shipped
327,150,2026-04-24,delivered
328,128,2026-06-24,delivered
329,126,2025-08-03,delivered
330,139,2026-06-13,returned
331,20,2025-09-06,cancelled
332,106,2026-06-29,delivered
333,56,2026-02-27,delivered
334,169,2026-03-15,delivered
335,106,2025-08-28,delivered
336,111,2025-08-08,shipped
337,50,2026-05-19,delivered
338,118,2026-05-19,delivered
339,167,2026-04-28,shipped
340,97,2025-11-24,delivered
341,180,2025-10-09,delivered
342,55,2025-08-11,cancelled
343,9,2025-12-20,delivered
344,20,2025-09-10,delivered
345,85,2026-06-21,delivered
346,191,2025-10-25,returned
347,60,2025-11-23,shipped
348,8,2025-10-14,delivered
349,150,2026-05-03,delivered
350,76,2026-01-16,shipped
351,40,2026-06-26,delivered
352,28,2026-01-28,delivered
353,23,2026-04-19,delivered
354,24,2026-05-12,delivered
355,186,2026-04-07,cancelled
356,98,2026-05-25,delivered
357,112,2026-02-01,delivered
358,161,2026-05-09,delivered
359,2,2026-01-12,cancelled
360,167,2026-04-26,returned
361,52,2026-01-16,delivered
362,178,2025-10-12,delivered
363,94,2025-10-10,delivered
364,197,2026-03-13,delivered
365,128,2025-10-22,delivered
366,97,2025-10-17,delivered
367,93,2026-06-28,shipped
368,169,2026-04-01,delivered
369,166,2025-07-28,delivered
370,131,2026-01-07,shipped
371,198,2025-11-24,delivered
372,76,2025-09-16,delivered
373,37,2026-04-04,delivered
374,25,2025-07-31,delivered
375,166,2026-04-19,delivered
376,142,2025-10-19,delivered
377,111,2026-01-31,delivered
378,2,2025-11-06,shipped
379,148,2026-01-25,delivered
380,30,2025-12-14,delivered
381,30,2025-10-05,delivered
382,173,2025-11-27,delivered
383,30,2025-10-26,delivered
384,36,2025-11-10,delivered
385,43,2025-12-27,delivered
386,14,2026-02-09,cancelled
387,50,2026-06-08,shipped
388,145,2026-06-25,delivered
389,138,2026-04-30,delivered
390,30,2026-05-27,delivered
391,56,2026-03-16,returned
392,193,2026-06-09,delivered
393,90,2025-09-04,cancelled
394,199,2026-02-21,shipped
395,182,2025-09-25,delivered
396,137,2026-01-25,delivered
397,147,2026-01-31,delivered
398,16,2025-11-20,returned
399,183,2026-01-03,delivered
400,37,2025-11-19,delivered
401,197,2025-12-31,delivered
402,1,2025-11-04,cancelled
403,163,2026-06-24,delivered
404,127,2025-11-21,delivered
405,88,2025-08-16,cancelled
406,161,2026-03-19,shipped
407,177,2026-07-03,cancelled
408,22,2026-03-30,delivered
409,186,2025-09-07,delivered
410,25,2025-08-11,delivered
411,3,2025-10-26,delivered
412,34,2025-11-20,delivered
413,27,2026-01-12,delivered
414,37,2025-08-11,delivered
415,43,2026-04-11,delivered
416,158,2025-11-21,delivered
417,151,2026-04-19,shipped
418,22,2026-03-15,delivered
419,133,2026-04-22,delivered
420,14,2026-02-14,shipped
421,128,2026-01-12,delivered
422,93,2025-07-30,cancelled
423,140,2025-08-05,delivered
424,11,2026-06-14,cancelled
425,103,2025-12-06,delivered
426,131,2025-12-31,cancelled
427,163,2026-07-10,shipped
428,112,2026-07-19,shipped
429,30,2025-09-01,delivered
430,190,2026-03-13,delivered
431,180,2025-11-17,delivered
432,200,2026-04-10,cancelled
433,86,2025-12-21,shipped
434,20,2026-01-15,delivered
435,66,2026-06-11,shipped
436,131,2026-01-30,delivered
437,121,2025-12-28,delivered
438,190,2026-05-02,delivered
439,82,2025-09-02,delivered
440,31,2026-05-08,delivered
441,133,2025-09-18,returned
442,117,2026-06-30,delivered
443,160,2025-08-01,delivered
444,195,2025-07-23,shipped
445,139,2026-03-28,delivered
446,195,2025-08-11,delivered
447,16,2025-10-05,returned
448,60,2025-12-25,cancelled
449,35,2026-07-16,delivered
450,75,2025-11-11,delivered
451,70,2025-09-26,delivered
452,40,2025-07-29,delivered
453,79,2025-08-04,delivered
454,176,2025-11-14,delivered
455,38,2026-02-23,delivered
456,174,2025-11-29,delivered
457,192,2025-08-25,delivered
458,36,2025-11-24,delivered
459,34,2026-06-02,delivered
460,20,2026-07-06,delivered
461,114,2026-03-11,shipped
462,11,2025-09-10,cancelled
463,111,2026-03-08,shipped
464,48,2026-05-23,delivered
465,141,2025-12-26,delivered
466,36,2025-08-05,delivered
467,183,2026-05-13,delivered
468,82,2026-03-18,delivered
469,15,2025-08-22,shipped
470,169,2025-09-16,delivered
471,148,2025-10-05,shipped
472,152,2026-04-24,delivered
473,45,2025-12-06,delivered
474,155,2025-09-30,delivered
475,83,2025-11-22,delivered
476,135,2025-07-28,cancelled
477,170,2025-11-19,delivered
478,83,2026-07-16,delivered
479,167,2025-10-05,delivered
480,188,2026-07-04,delivered
481,147,2025-08-10,delivered
482,82,2026-06-30,cancelled
483,37,2026-01-19,delivered
484,82,2025-07-27,delivered
485,164,2026-07-18,shipped
486,18,2026-02-17,delivered
487,13,2025-09-17,delivered
488,123,2026-06-05,shipped
489,76,2025-11-06,delivered
490,188,2026-07-17,delivered
491,158,2025-10-11,cancelled
492,43,2026-04-23,delivered
493,142,2026-05-10,shipped
494,101,2026-03-28,delivered
495,161,2025-11-24,delivered
496,164,2026-06-24,delivered
497,79,2026-05-03,shipped
498,95,2026-03-10,cancelled
499,68,2025-07-24,delivered
500,22,2026-07-18,delivered
501,138,2026-05-12,delivered
502,129,2026-01-17,delivered
503,43,2026-06-06,returned
504,175,2026-03-26,delivered
505,18,2025-08-24,delivered
506,151,2025-10-07,delivered
507,145,2026-01-02,shipped
508,125,2025-11-20,delivered
509,178,2025-07-30,delivered
510,6,2025-08-27,delivered
511,59,2025-09-15,delivered
512,49,2025-07-30,delivered
513,17,2025-08-12,delivered
514,15,2025-12-12,delivered
515,102,2026-07-17,delivered
516,62,2026-03-11,delivered
517,192,2026-05-20,shipped
518,99,2025-11-26,delivered
519,53,2025-11-13,delivered
520,45,2026-02-15,delivered
521,156,2025-10-29,shipped
522,118,2026-02-01,delivered
523,131,2026-05-18,returned
524,176,2025-08-28,delivered
525,164,2025-12-03,delivered
526,39,2025-08-13,delivered
527,82,2026-02-08,delivered
528,76,2026-06-02,delivered
529,88,2026-06-23,shipped
530,172,2026-06-03,delivered
531,121,2025-09-13,delivered
532,168,2026-06-20,delivered
533,67,2025-08-26,delivered
534,121,2026-05-30,cancelled
535,136,2026-03-18,delivered
536,52,2025-11-10,delivered
537,46,2026-02-15,delivered
538,71,2025-08-23,delivered
539,196,2026-05-18,shipped
540,104,2025-11-23,delivered
541,83,2025-11-24,shipped
542,188,2026-01-11,delivered
543,79,2025-12-24,delivered
544,117,2025-10-11,shipped
545,193,2026-02-07,delivered
546,130,2026-03-25,delivered
547,198,2026-01-26,delivered
548,170,2025-08-20,delivered
549,30,2025-09-11,delivered
550,176,2025-11-27,delivered
551,160,2025-08-28,delivered
552,159,2026-02-26,delivered
553,51,2026-03-22,delivered
554,42,2026-02-18,delivered
555,23,2026-01-29,cancelled
556,66,2026-05-22,delivered
557,93,2025-12-09,shipped
558,36,2025-10-28,delivered
559,69,2026-06-23,cancelled
560,47,2026-01-10,delivered
561,29,2025-09-01,delivered
562,107,2026-03-28,cancelled
563,8,2026-02-22,cancelled
564,113,2025-09-11,delivered
565,197,2025-09-30,shipped
566,177,2025-08-11,shipped
567,187,2025-07-24,delivered
568,157,2026-03-09,delivered
569,20,2025-10-28,shipped
570,141,2026-02-26,delivered
571,115,2025-07-26,delivered
572,141,2026-06-28,delivered
573,164,2026-01-04,delivered
574,94,2026-01-06,shipped
575,154,2025-08-04,delivered
576,1,2025-09-19,delivered
577,43,2026-06-19,delivered
578,118,2026-03-28,shipped
579,12,2026-05-05,cancelled
580,118,2025-10-12,delivered
581,13,2026-06-23,delivered
582,188,2026-05-14,shipped
583,154,2026-06-07,delivered
584,71,2026-06-11,delivered
585,180,2025-12-08,cancelled
586,162,2026-04-08,delivered
587,89,2025-12-15,cancelled
588,139,2025-12-09,delivered
589,150,2025-09-12,delivered
590,7,2026-06-03,delivered
591,52,2025-10-24,delivered
592,16,2026-03-03,delivered
593,27,2025-09-19,delivered
594,61,2026-02-19,delivered
595,176,2026-04-23,delivered
596,65,2025-12-24,delivered
597,155,2025-08-13,delivered
598,20,2025-09-02,delivered
599,11,2025-07-31,delivered
600,120,2026-07-04,shipped
601,14,2026-06-25,shipped
602,82,2026-05-25,delivered
603,107,2025-11-13,delivered
604,76,2025-11-03,delivered
605,62,2026-04-09,cancelled
606,30,2026-04-24,delivered
607,115,2026-07-18,delivered
608,43,2026-05-21,returned
609,54,2025-09-23,delivered
610,138,2025-07-28,shipped
611,85,2026-05-15,delivered
612,65,2026-03-15,delivered
613,162,2026-05-26,delivered
614,165,2026-06-29,shipped
615,150,2026-06-24,delivered
616,28,2026-06-20,delivered
617,170,2025-10-09,delivered
618,101,2025-12-19,shipped
619,96,2025-10-11,returned
620,37,2026-03-14,delivered
621,101,2025-08-27,delivered
622,192,2026-04-14,shipped
623,48,2025-11-14,delivered
624,193,2026-01-28,cancelled
625,51,2026-07-11,shipped
626,159,2025-11-12,delivered
627,158,2026-01-11,delivered
628,44,2025-08-03,delivered
629,112,2026-02-02,delivered
630,115,2025-10-17,delivered
631,21,2026-03-15,shipped
632,161,2026-02-16,delivered
633,162,2026-05-02,delivered
634,121,2026-04-27,delivered
635,188,2025-11-08,cancelled
636,102,2025-12-18,delivered
637,158,2026-01-18,delivered
638,145,2025-12-22,delivered
639,11,2025-12-06,delivered
640,133,2026-05-22,cancelled
641,83,2025-12-20,delivered
642,97,2025-09-01,delivered
643,58,2026-04-02,delivered
644,36,2025-12-08,delivered
645,55,2026-03-22,delivered
646,170,2026-05-16,delivered
647,54,2025-07-29,delivered
648,162,2026-04-11,delivered
649,133,2025-08-20,returned
650,170,2026-05-27,shipped
651,156,2025-10-10,returned
652,169,2025-11-19,delivered
653,153,2025-11-18,delivered
654,52,2026-04-24,delivered
655,137,2025-10-01,delivered
656,169,2025-07-23,delivered
657,167,2026-02-04,delivered
658,90,2026-01-29,delivered
659,66,2026-04-07,delivered
660,105,2026-02-14,delivered
661,2,2025-12-22,delivered
662,97,2026-04-13,delivered
663,150,2026-06-01,delivered
664,142,2026-04-03,shipped
665,199,2025-10-11,shipped
666,115,2025-09-01,shipped
667,87,2026-05-05,shipped
668,163,2025-11-02,delivered
669,154,2026-03-06,delivered
670,95,2026-06-17,delivered
671,103,2025-12-06,delivered
672,113,2025-11-23,delivered
673,60,2026-04-17,delivered
674,168,2025-08-12,delivered
675,172,2026-05-27,delivered
676,18,2025-11-05,cancelled
677,58,2026-07-01,delivered
678,67,2026-04-27,delivered
679,129,2026-06-07,delivered
680,138,2026-01-22,shipped
681,194,2026-07-08,delivered
682,98,2025-11-18,delivered
683,106,2026-02-03,returned
684,64,2026-02-03,delivered
685,91,2026-04-23,delivered
686,52,2025-11-17,delivered
687,64,2026-06-16,shipped
688,170,2025-09-25,delivered
689,11,2026-06-05,shipped
690,47,2026-04-08,returned
691,135,2025-08-04,shipped
692,31,2025-08-22,delivered
693,84,2026-06-01,delivered
694,157,2025-10-31,delivered
695,180,2026-07-19,shipped
696,148,2025-08-28,delivered
697,61,2025-09-30,delivered
698,35,2026-01-09,returned
699,102,2026-03-15,delivered
700,162,2025-11-13,delivered
701,6,2025-09-09,delivered
702,167,2026-07-02,delivered
703,115,2026-04-17,cancelled
704,108,2026-01-17,delivered
705,75,2026-04-12,shipped
706,106,2026-05-07,delivered
707,61,2026-07-02,delivered
708,102,2026-04-28,delivered
709,14,2026-02-21,delivered
710,168,2026-02-01,cancelled
711,34,2025-08-25,delivered
712,84,2025-09-01,cancelled
713,152,2026-03-13,delivered
714,23,2025-11-05,delivered
715,134,2026-04-02,shipped
716,3,2025-09-29,delivered
717,2,2026-04-21,delivered
718,64,2026-03-15,delivered
719,196,2026-03-31,shipped
720,49,2025-07-26,cancelled
721,117,2025-10-07,delivered
722,39,2025-10-13,delivered
723,73,2026-07-17,delivered
724,88,2025-09-10,delivered
725,69,2026-04-20,shipped
726,47,2026-05-13,delivered
727,198,2025-09-28,returned
728,189,2025-11-01,shipped
729,83,2026-02-21,delivered
730,134,2026-04-05,delivered
731,61,2026-01-08,delivered
732,63,2026-01-15,delivered
733,122,2026-01-20,delivered
734,41,2026-05-18,delivered
735,40,2025-11-13,shipped
736,60,2025-10-06,delivered
737,92,2026-03-23,shipped
738,139,2025-12-20,delivered
739,83,2026-03-19,shipped
740,116,2025-12-11,delivered
741,98,2025-08-20,shipped
742,199,2026-06-09,delivered
743,135,2026-03-07,delivered
744,165,2026-02-28,delivered
745,18,2025-10-19,delivered
746,125,2026-04-27,delivered
747,100,2026-03-31,delivered
748,4,2026-06-11,cancelled
749,164,2026-04-19,delivered
750,19,2025-07-20,shipped
751,25,2026-05-02,delivered
752,135,2026-03-17,delivered
753,192,2026-07-05,delivered
754,43,2025-12-16,shipped
755,81,2026-07-14,delivered
756,83,2026-01-18,delivered
757,66,2025-12-27,delivered
758,133,2025-10-04,delivered
759,198,2025-10-30,shipped
760,10,2025-12-02,delivered
761,64,2025-08-22,delivered
762,20,2026-05-06,shipped
763,10,2026-05-17,shipped
764,198,2026-03-15,delivered
765,98,2025-07-27,delivered
766,145,2026-04-29,delivered
767,101,2026-07-16,returned
768,75,2025-12-08,shipped
769,147,2026-04-12,shipped
770,124,2025-12-07,delivered
771,64,2025-12-27,delivered
772,29,2025-10-06,delivered
773,198,2026-02-14,delivered
774,52,2026-07-01,delivered
775,190,2025-10-29,delivered
776,29,2025-11-07,delivered
777,134,2025-07-24,shipped
778,150,2026-05-16,cancelled
779,16,2025-07-20,delivered
780,170,2025-08-10,delivered
781,98,2025-10-29,delivered
782,153,2026-06-17,delivered
783,183,2026-02-24,delivered
784,101,2026-01-20,shipped
785,91,2026-03-12,delivered
786,100,2026-01-19,cancelled
787,58,2025-08-03,delivered
788,161,2025-08-05,delivered
789,139,2026-02-20,delivered
790,36,2025-12-12,delivered
791,145,2025-11-09,cancelled
792,82,2025-08-09,shipped
793,106,2025-12-19,delivered
794,7,2026-05-20,shipped
795,60,2025-11-23,delivered
796,155,2026-02-05,delivered
797,50,2025-12-04,delivered
798,194,2026-05-30,delivered
799,84,2025-07-20,cancelled
800,189,2025-11-19,shipped
